"id","retired_name","name","practice","motion_profile","primary","secondary","side_sequence","mode","presentation","hold_frame_percent","media_source_id","file","url","source_page","start_seconds","duration_seconds","frames_per_second","crop","ping_pong","mirror_for_alternation","review"
"15","Skater-RDL Balance","Alternating Standing Hamstring Curls","Bodyweight conditioning","StandingHamstringCurl","PosteriorThighAndKneeFlexors","GlutealExtensors|HipAbductors|DeepAndIntersegmentalBack|CalfDeepPosteriorLegAndPlantarFoot","Continuous","Repetition","Motion","0","","FGB_9YVUmfY.mp4","https://www.youtube.com/watch?v=FGB_9YVUmfY","https://www.youtube.com/watch?v=FGB_9YVUmfY","15","25","8","crop=ih:ih:(iw-ih)/2:0","false","false","A full human demonstration shows the complete named movement without equipment, support, jumping, travel outside three metres, or hidden resistance."
"16","Star-Tap Balance","Split-Stance Toe Raises","Standing ankle strengthening","ToeRaise","AnteriorLateralLowerLegAndDorsalFoot","HipAbductors|GlutealExtensors|CalfDeepPosteriorLegAndPlantarFoot","ScreenRightThenLeft","Repetition","Motion","0","","w3wvasIXwP0.mp4","https://www.youtube.com/watch?v=w3wvasIXwP0","https://www.youtube.com/watch?v=w3wvasIXwP0","2","9","10","crop=ih:ih:(iw-ih)/2:0","false","false","A full human demonstration shows the complete named movement without equipment, support, jumping, travel outside three metres, or hidden resistance."
"17","Single-Leg RDL-Rotation Balance","Standing Toe-Touch Windmill","Standing mobility","ToeTouchWindmill","DeepAndIntersegmentalBack","PosteriorThighAndKneeFlexors|GlutealExtensors|AbdominalWall|CalfDeepPosteriorLegAndPlantarFoot","Continuous","Repetition","Motion","0","","FGB_9YVUmfY.mp4","https://www.youtube.com/watch?v=FGB_9YVUmfY","https://www.youtube.com/watch?v=FGB_9YVUmfY","135","25","8","crop=ih:ih:(iw-ih)/2:0","false","false","A full human demonstration shows the complete named movement without equipment, support, jumping, travel outside three metres, or hidden resistance."
"19","Side-to-Side Pendulum Balance","Wide Plie Squat Pulses","Ballet conditioning","PliePulse","AccessoryHipAdductors","HipAbductors|DeepHipRotators|CalfDeepPosteriorLegAndPlantarFoot|AnteriorLateralLowerLegAndDorsalFoot","Continuous","Repetition","Motion","0","","2_lCvBvHRFI.mp4","https://www.youtube.com/watch?v=2_lCvBvHRFI","https://www.youtube.com/watch?v=2_lCvBvHRFI","45","20","8","crop=ih:ih:(iw-ih)/2:0","false","false","A full human demonstration shows the complete named movement without equipment, support, jumping, travel outside three metres, or hidden resistance."
"20","Front-to-Back Pendulum Balance","Standing Rear-Leg Pulses","Standing lower-body conditioning","RearLegPulse","PosteriorThighAndKneeFlexors","GlutealExtensors|HipFlexors|CalfDeepPosteriorLegAndPlantarFoot|AnteriorLateralLowerLegAndDorsalFoot","ScreenLeftThenRight","Repetition","Motion","0","","2_lCvBvHRFI.mp4","https://www.youtube.com/watch?v=2_lCvBvHRFI","https://www.youtube.com/watch?v=2_lCvBvHRFI","285","20","8","crop=ih:ih:(iw-ih)/2:0","false","false","A full human demonstration shows the complete named movement without equipment, support, jumping, travel outside three metres, or hidden resistance."
"31","Tai Chi Golden-Rooster Balance Drill","Alternating Knee Raises with Two-Arm Pull-Down","Low-impact conditioning","KneeRaiseTwoArmPulldown","HipFlexors","ShoulderAdductorsAndExtensors|ShoulderAbductors|ScapularGirdle|AbdominalWall","Alternating","Repetition","Motion","0","","6P_JPNPgXig.mp4","https://www.youtube.com/watch?v=6P_JPNPgXig","https://www.youtube.com/watch?v=6P_JPNPgXig","134","12","8","crop=ih:ih:(iw-ih)/2:0","false","false","The full-body loop alternates left and right knee raises while both arms pull down from overhead, so the complete demonstrated pattern runs in one continuous phase without a mirrored side timer."
"41","Backward Walking","Alternating Reverse Lunge with Knee Drive","Bodyweight conditioning","ReverseLungeKneeDrive","GlutealExtensors","PosteriorThighAndKneeFlexors|MedialAndDeepKneeExtensors|LateralKneeExtensors|HipFlexors|HipAbductors|AbdominalWall|CalfDeepPosteriorLegAndPlantarFoot","Continuous","Repetition","Motion","0","","alternating-reverse-lunge-knee-drive.mp4","https://www.youtube.com/watch?v=qXyN2GwK9xk","https://www.youtube.com/watch?v=qXyN2GwK9xk","4","28.5","8","crop=ih:ih:(iw-ih)/2:0","false","false","Reviewed replacement: the exact human demonstration makes Alternating Reverse Lunge with Knee Drive immediately copyable without equipment, support, or excess travel."
"47","Walking with Horizontal Head Turns","Tandem-Stance Head Turns","Balance and vestibular training","TandemHeadTurn","AnteriorLateralNeckAndHyoidMuscles","PosteriorNeckAndSuboccipitalMuscles|DeepAndIntersegmentalBack|AnteriorLateralLowerLegAndDorsalFoot","ScreenRightThenLeft","Repetition","Motion","0","","qH4_IVoWptU.mp4","https://www.youtube.com/watch?v=qH4_IVoWptU","https://www.youtube.com/watch?v=qH4_IVoWptU","12","10","8","crop=ih:ih:(iw-ih)/2:0","false","false","A full human demonstration shows the complete named movement without equipment, support, jumping, travel outside three metres, or hidden resistance."
"56","Hula Kāholo","Shibashi Shallow Squat with Arm Float","Taiji Qigong Shibashi","SquatArmRaise","LateralKneeExtensors","MedialAndDeepKneeExtensors|AbdominalWall|ShoulderAbductors","Continuous","Repetition","Motion","0","","shibashi-set1.mp4","https://www.youtube.com/watch?v=PG1WGuzm7T0","https://www.youtube.com/watch?v=PG1WGuzm7T0","10","8","8","crop=ih:ih:(iw-ih)/2:0","false","false","From a shallow squat, both hands float from thigh level to chest level and return as the knees bend and straighten. Unused chapter; distinct from the retained opening-the-chest form."
"59","Samba no Pé Basic","Shibashi Side Shift with Rainbow Reach","Taiji Qigong Shibashi","SideReach","DeepAndIntersegmentalBack","ShoulderAbductors|HipAbductors|AccessoryHipAdductors|AbdominalWall","Continuous","Repetition","Motion","0","","shibashi-set1.mp4","https://www.youtube.com/watch?v=PG1WGuzm7T0","https://www.youtube.com/watch?v=PG1WGuzm7T0","104","8","8","crop=ih:ih:(iw-ih)/2:0","false","false","The body shifts left and right while the arms make a large overhead rainbow; both directions are visible in the clip. Unused named chapter; no retained catalog name or source interval matches it."
"97","Heel-to-Toe Balance Rocks","Standing Side-Kick Reach","Balance training","SideKickReach","AnteriorLateralLowerLegAndDorsalFoot","CalfDeepPosteriorLegAndPlantarFoot|Soleus","ScreenRightThenLeft","Repetition","Motion","0","","6P_JPNPgXig.mp4","https://www.youtube.com/watch?v=6P_JPNPgXig","https://www.youtube.com/watch?v=6P_JPNPgXig","873","12","8","crop=ih:ih:(iw-ih)/2:0","false","false","A full human demonstration shows the complete named movement without equipment, support, jumping, travel outside three metres, or hidden resistance."
