"ID","Name","Existing practice","Existing muscle assignments","Every qualifying new category","Primary scheduling category","Training rationale","Decision","Demonstration or naming concerns","Confidence"
"15","Alternating Skater-RDL Balance","Balance training","Glutes;Core;Hamstrings;LowerBack;Calves;Abductors;Shins","Balance;Strength;Mobility","Balance","Single-leg hinge and lateral transfer strongly challenge postural control; the hinge also loads the posterior chain through useful hip range.","Keep","Prominent source timer graphics, but the full movement remains readable.","High"
"16","Alternating Star-Tap Balance","Balance training","Calves;Abductors;Shins","Balance;Stepping","Balance","Single-leg support with multidirectional target taps trains controlled foot placement and limits of stability.","Keep","Prominent source timer graphics, but foot placement remains visible.","High"
"17","Alternating Single-Leg RDL-Rotation Balance","Balance training","Glutes;Core;Hamstrings;LowerBack;Calves;Shins","Balance;Strength;Mobility","Balance","A single-leg hinge combined with trunk rotation creates a substantial dynamic-balance demand and meaningful posterior-chain loading.","Keep","Prominent source timer graphics, but the exercise is accurately demonstrated.","High"
"19","Alternating Side-to-Side Pendulum Balance","Balance training","Calves;Adductors;Abductors;Shins","Balance;Mobility","Balance","Repeated unsupported lateral leg arcs challenge frontal-plane control and active hip range.","Keep","Prominent source graphics; otherwise the movement is clear.","High"
"20","Alternating Front-to-Back Pendulum Balance","Balance training","Hamstrings;Calves;Shins","Balance;Mobility","Balance","Unsupported sagittal leg swings train balance while using meaningful active hip-flexion and extension range.","Keep","Prominent source graphics; otherwise the movement is clear.","High"
"21","Alternating Standing-Scale Balance Hold","Balance training","Glutes;Core;Hamstrings;LowerBack;Calves;Shins","Balance;Strength;Mobility","Balance","The long-lever single-leg scale hold demands sustained postural control, hip stability, trunk endurance, and posterior-chain range.","Keep","The explicit hold name now matches the frozen final-position demonstration.","High"
"31","Tai Chi Golden-Rooster Balance Drill","Balance training","Calves;Shins","Balance;Stepping","Balance","Slow weight transfer into alternating single-leg stance trains deliberate step placement and sustained postural control.","Keep","The source is wide, but the full-body action is visible.","High"
"92","Capoeira Ginga","Capoeira","Glutes;Quadriceps","Balance;Strength;Stamina;Stepping","Stepping","Continuous triangular stepping, low stance, and repeated weight transfer train directional stepping with secondary balance, leg endurance, and aerobic demand.","Keep","The demonstrator is small in a wide landscape frame, but the ginga pattern is recognizable.","High"
"93","Capoeira Esquiva Lateral","Capoeira","Glutes;Quadriceps;Abductors","Balance;Strength;Stepping;Mobility","Stepping","Repeated lateral evasions train controlled side steps, level changes, frontal-plane balance, leg strength, and lateral hip range.","Keep","Wide framing and background objects reduce visual focus, but no equipment is used.","High"
"96","Alternating Dynamic Figure-Four Squat Balance","Balance training","Glutes;Quadriceps;Calves;Abductors;Shins","Balance;Strength;Mobility","Balance","Alternating figure-four squats combine a demanding single-leg base with loaded hip rotation and squat strength.","Keep","Furniture is visible but is not used; the movement itself is clear.","High"
"97","Heel-to-Toe Balance Rocks","Balance training","Calves;Shins","Balance;Strength","Balance","Controlled forefoot-to-heel rocking trains ankle-strategy balance and local plantar-flexor and dorsiflexor endurance.","Keep","The movement is subtle, so the present side view is important; otherwise the name and demo match.","High"
"98","Penguin Balance March","Balance training","Calves;Shins","Balance;Strength","Strength","The narrow toe-out heel raises provide legitimate calf endurance with a modest balance demand.","Reconsider","The demonstration is a heels-together toe-out calf raise, not a march; rename it rather than presenting it as gait work.","Medium"
"101","Bodyweight Squat","Bodyweight conditioning","Glutes;Quadriceps","Strength","Strength","Repeated full-bodyweight squats directly train functional lower-limb force and local muscular endurance.","Keep","None observed.","High"
"102","Low-Impact Squat Jack","Bodyweight conditioning","Glutes;Quadriceps;Calves;Shins","Strength;Stamina;Stepping","Stamina","Continuous step-outs paired with squats create sustained whole-body demand while training leg strength and lateral foot placement.","Keep","None observed.","High"
"103","Wide Squat Pulse","Bodyweight conditioning","Glutes;Quadriceps;Adductors","Strength","Strength","A sustained wide squat with pulses meaningfully trains lower-limb local muscular endurance.","Reconsider","Accurate demonstration, but it substantially duplicates Squat Pulse, Sumo Squat, and Plié Squat.","High"
"104","Sumo Squat","Bodyweight conditioning","Glutes;Quadriceps;Adductors","Strength","Strength","Repeated deep wide-stance squats provide a clear lower-limb strength and endurance stimulus.","Keep","None observed.","High"
